country,status,num_records,first_year,last_year,avg_life_expectancy,min_life_expectancy,max_life_expectancy,avg_gdp,avg_schooling,avg_adult_mortality
Japan,Developed,16,2000,2015,82.54,81.1,83.7,37226.53,14.98,64.29
Sweden,Developed,16,2000,2015,82.52,79.6,89.0,43728.39,15.87,62.67
Iceland,Developed,16,2000,2015,82.44,79.7,88.0,45796.96,18.16,59.46
Switzerland,Developed,16,2000,2015,82.33,79.7,85.0,64572.83,15.39,62.86
France,Developed,16,2000,2015,82.22,78.8,89.0,34444.95,15.9,87.15
Italy,Developed,16,2000,2015,82.19,79.4,89.0,33178.81,15.93,65.31
Spain,Developed,16,2000,2015,82.07,79.1,89.0,25889.01,16.36,71.79
Australia,Developed,16,2000,2015,81.81,79.5,86.0,49078.93,20.04,67.0
Norway,Developed,16,2000,2015,81.79,78.5,89.0,65060.3,17.47,70.2
Canada,Developing,16,2000,2015,81.69,79.1,87.0,37928.31,15.88,72.79
Austria,Developed,16,2000,2015,81.48,78.1,88.0,41309.84,15.39,79.08
Singapore,Developed,16,2000,2015,81.48,78.3,87.0,39542.34,13.98,65.73
New Zealand,Developed,16,2000,2015,81.34,78.5,89.0,26575.96,18.87,75.8
Israel,Developing,16,2000,2015,81.3,78.9,84.0,29065.23,15.71,67.14
Greece,Developing,16,2000,2015,81.22,78.2,88.0,23179.33,15.94,78.0
Germany,Developed,16,2000,2015,81.18,78.0,89.0,36492.57,16.6,80.21
Netherlands,Developed,16,2000,2015,81.13,78.1,88.0,42171.02,17.06,69.43
United Kingdom of Great Britain and Northern Ireland,Developed,16,2000,2015,80.79,77.8,87.0,,,79.29
Luxembourg,Developed,16,2000,2015,80.78,77.8,88.0,87866.38,13.64,81.31
Finland,Developing,16,2000,2015,80.71,77.5,89.0,38067.97,17.29,88.58
Belgium,Developed,16,2000,2015,80.68,77.6,89.0,38399.15,16.79,84.85
Republic of Korea,Developing,16,2000,2015,80.49,76.0,87.0,,,80.13
Malta,Developed,16,2000,2015,80.36,77.5,87.0,18248.31,14.31,64.27
Ireland,Developed,16,2000,2015,80.15,76.4,86.0,46718.92,17.66,76.8
Portugal,Developed,16,2000,2015,79.99,76.6,89.0,19017.76,15.94,86.8
Slovenia,Developed,16,2000,2015,79.73,76.0,88.0,21136.83,16.48,97.58
Cyprus,Developed,16,2000,2015,79.68,78.1,85.0,25005.47,13.52,60.93
Chile,Developing,16,2000,2015,79.45,77.3,85.0,10087.87,14.9,88.0
Denmark,Developed,16,2000,2015,79.26,76.9,86.0,54987.11,17.19,84.0
Costa Rica,Developing,16,2000,2015,78.59,77.5,79.6,6311.07,12.84,96.73
United States of America,Developed,16,2000,2015,78.06,76.8,79.3,,,113.43
Cuba,Developing,16,2000,2015,77.98,76.7,79.1,4396.13,14.69,99.63
Qatar,Developing,16,2000,2015,77.03,76.2,78.2,62962.85,12.85,79.93
Czechia,Developed,16,2000,2015,76.77,74.7,78.8,,,106.4
Panama,Developing,16,2000,2015,76.49,75.5,77.8,7545.93,12.78,122.8
Brunei Darussalam,Developing,16,2000,2015,76.49,74.4,78.3,29987.23,14.11,85.75
Croatia,Developed,16,2000,2015,76.12,74.7,78.0,11740.75,13.89,113.42
Uruguay,Developing,16,2000,2015,76.08,75.1,77.0,11521.67,15.23,119.94
Bosnia and Herzegovina,Developing,16,2000,2015,75.97,74.6,77.4,3372.58,12.23,97.8
Bahrain,Developing,16,2000,2015,75.73,74.5,76.9,18356.72,14.11,78.69
Mexico,Developing,16,2000,2015,75.72,74.8,76.7,8453.46,12.33,125.14
United Arab Emirates,Developing,16,2000,2015,75.7,74.2,77.1,40534.77,12.81,85.25
Poland,Developed,16,2000,2015,75.65,73.7,77.5,9556.24,15.25,139.17
Maldives,Developing,16,2000,2015,75.54,69.6,78.5,5407.08,12.0,87.67
Albania,Developing,16,2000,2015,75.16,72.6,77.8,3211.66,12.14,87.57
Argentina,Developing,16,2000,2015,75.16,74.0,76.3,9681.25,16.51,127.62
Antigua and Barbuda,Developing,16,2000,2015,75.06,73.6,76.4,11693.1,8.84,143.79
Estonia,Developing,16,2000,2015,74.94,71.2,78.0,15067.41,15.94,169.69
Oman,Developing,16,2000,2015,74.84,72.6,76.6,15185.44,12.23,120.75
Viet Nam,Developing,16,2000,2015,74.78,73.4,76.0,,11.51,134.13
Slovakia,Developed,16,2000,2015,74.75,73.0,76.7,,14.35,132.57
Ecuador,Developing,16,2000,2015,74.73,72.8,76.2,4504.56,13.01,140.0
Montenegro,Developing,16,2000,2015,74.5,73.0,76.1,6036.9,10.72,128.0
Barbados,Developing,16,2000,2015,74.36,73.3,75.5,14445.52,14.89,116.9
Tunisia,Developing,16,2000,2015,74.36,72.9,75.3,3418.52,14.06,112.0
Jamaica,Developing,16,2000,2015,74.29,72.6,76.2,4143.06,12.28,149.67
Bahamas,Developing,16,2000,2015,74.29,72.6,76.1,,12.43,171.29
China,Developing,16,2000,2015,74.26,71.7,76.1,4943.38,11.44,94.08
Lebanon,Developing,16,2000,2015,74.2,72.7,75.0,6548.62,13.74,97.7
The former Yugoslav republic of Macedonia,Developing,16,2000,2015,74.11,72.6,75.7,,12.38,121.29
Romania,Developed,16,2000,2015,74.05,71.1,78.0,6716.34,13.93,156.06
Serbia,Developing,16,2000,2015,73.96,72.6,75.6,4459.35,13.53,130.44
Turkey,Developing,16,2000,2015,73.91,71.2,78.0,8738.45,12.68,125.67
Iran (Islamic Republic of),Developing,16,2000,2015,73.86,71.2,78.0,,12.66,120.07
Kuwait,Developing,16,2000,2015,73.84,73.2,74.7,38704.17,13.73,88.2
Hungary,Developed,16,2000,2015,73.82,71.7,75.8,11908.26,15.12,165.71
Malaysia,Developing,16,2000,2015,73.76,72.4,75.0,6659.6,12.56,133.57
Latvia,Developed,16,2000,2015,73.73,69.9,78.0,10541.32,15.57,193.54
Peru,Developing,16,2000,2015,73.66,71.4,75.5,4124.05,13.31,137.93
Algeria,Developing,16,2000,2015,73.62,71.3,75.6,3683.09,12.71,129.77
Samoa,Developing,16,2000,2015,73.62,71.4,79.0,3228.85,12.64,150.21
Saint Lucia,Developing,16,2000,2015,73.6,71.6,75.2,,12.71,154.93
Georgia,Developing,16,2000,2015,73.51,71.7,74.5,3426.82,12.68,129.57
Saudi Arabia,Developing,16,2000,2015,73.47,72.6,74.5,14677.11,13.29,93.13
Saint Vincent and the Grenadines,Developing,16,2000,2015,73.47,71.0,79.0,,13.18,171.43
Nicaragua,Developing,16,2000,2015,73.45,71.0,76.0,1591.92,11.11,172.07
Armenia,Developing,16,2000,2015,73.4,72.0,74.8,2939.53,11.79,132.29
Sri Lanka,Developing,16,2000,2015,73.4,69.1,74.9,2001.22,13.22,152.93
Venezuela (Bolivarian Republic of),Developing,16,2000,2015,73.39,72.4,74.1,,12.79,163.0
Brazil,Developing,16,2000,2015,73.38,71.0,75.0,8967.45,14.16,159.6
Colombia,Developing,16,2000,2015,73.29,71.4,74.8,4648.98,12.23,149.46
Grenada,Developing,16,2000,2015,73.29,71.1,79.0,7063.63,15.21,163.0
Paraguay,Developing,16,2000,2015,73.11,71.2,79.0,3126.3,12.17,157.64
Thailand,Developing,16,2000,2015,73.08,71.1,74.9,4232.08,12.55,170.0
Jordan,Developing,16,2000,2015,72.99,71.7,74.1,2693.78,13.24,121.13
Honduras,Developing,16,2000,2015,72.99,71.0,74.6,1710.29,10.89,160.07
